id,course_id,name,time_start,time_end,instructor,day_of_week,term
1,1,AA,18:30,21:00,"BASSEL ATALLAH",M------,Summer
2,1,G,16:15,17:30,"REMI ALAURENT",-T-----,Fall
3,1,H,16:15,17:30,"REMI ALAURENT",---J---,Fall
4,1,Q,16:15,17:30,"REMI ALAURENT",-T-----,Winter
5,2,AA,11:45,13:00,"JOHN HADJINICOLAOU",M-W----,Summer
6,2,G,16:15,17:30,"JOHN HADJINICOLAOU",----F--,Fall
7,2,H,16:15,17:30,"JOHN HADJINICOLAOU",---J---,Fall
8,2,R,16:15,17:30,"JOHN HADJINICOLAOU",---J---,Winter
9,2,SS,17:45,19:00,"RAHIM TADAYON",--W----,Winter
10,3,AA,10:15,12:45,"ALEXANDRE PARADIS",-T-J---,Summer
11,3,P,11:45,13:00,"DIMITER DRYANOV",M-W----,Fall
12,3,R,8:45,10:00,"NATALIIA ROSSOKHATA",--W-F--,Fall
13,3,T,10:15,11:30,"GEORGIOS VATISTAS",-T-J---,Fall
14,3,U,11:45,13:00,"ALEXEY KOKOTOV",--W-F--,Fall
15,3,V,8:45,10:00,"CIPRIAN ALECSANDRU",--W-F--,Fall
16,3,X,10:15,11:30,"DMITRY KOROTKIN",-T-J---,Fall
17,3,XX,17:45,20:15,"DIMITER DRYANOV",----F--,Fall
18,3,F,14:45,16:00,"NATALIIA ROSSOKHATA",-T-J---,Winter
19,3,G,14:45,16:00,"M. OMAIR AHMAD",-T-J---,Winter
20,3,J,14:45,16:00,"ALEXEY KOKOTOV",-T-J---,Winter
21,4,CC,10:45,13:15,"DONALD DAVIS",-T-J---,Summer
22,4,P,13:15,14:30,"RAMA BHAT",-T-J---,Fall
23,4,Q,13:15,14:30,"DMITRY KOROTKIN",-T-J---,Fall
24,4,J,16:15,17:30,"DIMITER DRYANOV",M-W----,Winter
25,4,R,11:45,13:00,"ALEXANDER SHNIRELMAN",-T-J---,Winter
26,4,S,8:45,10:00,"CHANTAL DAVID",--W-F--,Winter
27,4,T,10:15,11:30,"IMAN GOHAR",--W-F--,Winter
28,4,U,8:45,10:00,"ALEXANDER SHNIRELMAN",-T-J---,Winter
29,4,V,8:45,10:00,"HASHEM AKBARI",-T-J---,Winter
30,4,X,10:15,11:30,"CHANTAL DAVID",--W-F--,Winter
31,5,T,10:15,11:30,"ALEXANDRE PARADIS",--W-F--,Fall
32,5,V,10:15,11:30,"THEODORE STATHOPOULOS",-T-J---,Fall
33,5,X,10:15,11:30,"JAVAD DARGAHI",-T-J---,Fall
34,5,YY,17:45,20:15,"CHELLAIYAH RAJALINGHAM",-T-----,Fall
35,5,J,11:45,13:00,"THEODORE STATHOPOULOS",-T-J---,Winter
36,5,L,11:45,13:00,"CHELLAIYAH RAJALINGHAM",-T-J---,Winter
37,6,AA,18:30,21:00,"ALEXANDRE PARADIS",-T-J---,Summer
38,6,T,11:45,13:00,"RAMA BHAT",-T-J---,Winter
39,6,V,10:15,11:30,"THEODORE STATHOPOULOS",--W-F--,Winter
40,6,X,11:45,13:00,"ASHOK KAUSHAL",-T-J---,Winter
41,6,TT,17:45,20:15,"ALEXANDRE PARADIS",---J---,Winter
42,7,AA,18:30,21:00,"RAJAMOHAN GANESAN",M-W----,Summer
43,7,AB,18:30,21:00,"WAIZUDDIN AHMED",M-W----,Summer
44,7,M,13:15,14:30,"SURAJ JOSHI",-T-J---,Winter
45,7,T,13:15,14:30,"WAIZUDDIN AHMED",-T-J---,Winter
46,7,V,8:45,10:00,"CHELLAIYAH RAJALINGHAM",--W-F--,Winter
47,7,X,13:15,14:30,"CHELLAIYAH RAJALINGHAM",-T-J---,Winter
48,7,LL,17:45,20:15,"MICHELLE NOKKEN",--W----,Winter
49,8,V,13:15,14:30,"DACIAN EMILIAN ROMAN",-T-J---,Winter
50,8,CV,15:45,18:15,"PIERRE GAUTHIER",-T-J---,Summer
51,8,M,16:15,17:30,"HOI DICK NG",M-W----,Fall
52,8,T,10:15,11:30,"LYES KADEM",-T-J---,Fall
53,8,T,8:45,10:00,"ALEXANDRE PARADIS",--W-F--,Winter
54,8,V,10:15,11:30,"HASHEM AKBARI",-T-J---,Winter
55,8,XX,17:45,20:15,"CHELLAIYAH RAJALINGHAM",----F--,Winter
56,8,F,16:15,17:30,"KRZYSZTOF SKONIECZNY",-T-J---,Fall
57,8,U,10:15,11:30,"LUIS RODRIGUES",--W-F--,Winter
58,9,AA,18:30,21:00,"SHAHRAM SHARIFI",-T-J---,Summer
59,9,AB,18:30,21:00,"SALEH AHMAD ABU DABOUS",-T-J---,Summer
60,9,G,16:15,17:30,"GERARD GOUW",-T-J---,Fall
61,9,H,16:15,17:30,"FUZHAN NASIRI",-T-J---,Fall
62,9,FF,17:45,20:15,"JIAN LI HAO",----F--,Fall
63,9,II,17:45,20:15,"SHAHRAM SHARIFI",----F--,Fall
64,9,R,16:15,17:30,"JIAN LI HAO",-T-J---,Winter
65,9,SS,17:45,20:15,"GERARD GOUW",M------,Winter
66,9,AA,11:45,14:30,"DONALD DAVIS",-T-J---,Summer
67,9,AB,18:30,21:00,"SURAJ JOSHI",M-W----,Summer
68,9,T,16:15,17:30,"NABIL ESMAIL",-T-J---,Fall
69,9,X,8:45,10:00,"ZHI LI",--W-F--,Fall
70,9,Y,16:15,17:30,"ALEXANDRE PARADIS",-T-J---,Fall
71,9,AA,14:45,17:30,"MARIUS PARASCHIVOIU",-T-J---,Summer
72,9,L,8:45,10:00,"CHARLES KIYANDA",M-W----,Fall
73,9,V,11:45,13:00,"LIANGZHU WANG",--W-F--,Fall
74,9,X,13:15,14:30,"MARIUS PARASCHIVOIU",M-W----,Winter
75,10,CC,18:30,21:00,"DONALD DAVIS",M-W----,Summer
76,10,CD,18:30,21:00,"SHAHRAM SHARIFI",M-W----,Summer
77,10,R,13:15,14:30,"SURAJ JOSHI",-T-J---,Fall
78,10,S,13:15,14:30,"KETRA SCHMITT",M-W----,Fall
79,10,FF,17:45,20:15,"WALAA HAMOUDA",M------,Fall
80,10,T,14:45,16:00,"JOHN XIUPU ZHANG",-T-J---,Winter
81,10,W,10:15,11:30,"HASSAN RIVAZ",--W-F--,Winter
82,10,UU,17:45,20:15,"IMAN GOHAR",----F--,Winter
83,11,AA,18:30,21:00,"CHANDRA ASTHANA",-T-J---,Summer
84,11,CC,18:30,21:00,"PIERRE GAUTHIER",-T-J---,Summer
85,11,F,16:15,17:30,"RAMA BHAT",-T-J---,Fall
86,11,M,8:45,10:00,"ASHOK KAUSHAL",-T-J---,Fall
87,11,S,16:15,17:30,"ASHOK KAUSHAL",-T-J---,Fall
88,11,V,13:15,14:30,"LIANGZHU WANG",-T-J---,Winter
89,11,X,8:45,10:00,"ASHOK KAUSHAL",--W-F--,Winter
90,11,UU,17:45,20:15,"CHARLES KIYANDA",---J---,Winter
91,12,AA,8:45,11:30,"PIERRE OUELLET",-T-J---,Summer
92,12,AB,11:45,14:30,"DAVID SADOWAY",-T-J---,Summer
93,12,CC,8:45,11:30,"BRUNO GRENIER",-T-J---,Summer
94,12,D,8:45,11:30,"BRUNO GRENIER",----F--,Fall
95,12,F,16:15,17:30,"BRANDIFF CARON",M-W----,Fall
96,12,EE,17:45,20:15,"BRUNO GRENIER",---J---,Fall
97,12,P,8:45,11:30,"KERRY HOLDEN",----F--,Winter
98,12,Q,16:15,17:30,"MATTHEW HARSH",M-W----,Winter
99,12,RR,17:45,20:15,"MATTHEW HARSH",-T-----,Winter
100,12,W,0:00,0:00,"DEBORAH DYSART-GALE",-------,Summer
101,12,BB,0:00,0:00,"DEBORAH DYSART-GALE",-------,Summer
102,12,F,0:00,0:00,"DEBORAH DYSART-GALE",-------,Fall
103,12,W,0:00,0:00,"DEBORAH DYSART-GALE",-------,Winter
104,12,X,0:00,0:00,"DEBORAH DYSART-GALE",-------,Winter
105,12,BM,0:00,0:00,"DEBORAH DYSART-GALE",-------,Summer
106,12,MI,0:00,0:00,"DEBORAH DYSART-GALE",-------,Winter
107,12,DD,17:45,20:15,"STANISLAS L KLASA",-T-----,Fall
108,12,QQ,17:45,20:15,"STANISLAS L KLASA",-T-----,Winter
109,12,AA,18:30,21:00,"TADEUSZ OBUCHOWICZ",M-W----,Summer
110,12,U,13:15,14:30,"KERLY TITUS",M-W----,Fall
111,12,DD,17:45,20:15,"DAVID PROBST",--W----,Winter
112,12,PP,17:45,20:15,"DAVID PROBST",-T-----,Winter
113,15,AA,10:45,13:15,"VACLAV KRATOCHVIL",-T-J---,Summer
114,15,Q,13:15,14:30,"GOSTA GRAHNE",-T-J---,Fall
115,15,R,13:15,14:30,"LATA NARAYANAN",-T-J---,Fall
116,15,DD,17:45,20:15,"EUSEBIUS DOEDEL",--W----,Fall
117,15,S,13:15,14:30,"SABINE BERGLER",-T-J---,Winter
118,15,NN,17:45,20:15,"GOSTA GRAHNE",---J---,Winter
119,15,CC,13:15,16:00,"CARLOS-LUIS SANTANA",-T-J---,Summer
120,15,Q,13:15,14:30,"SUDHIR MUDUR",-T-J---,Fall
121,15,N,13:15,14:30,"EUSEBIUS DOEDEL",M-W----,Winter
122,15,DD,17:45,20:15,"ADAM KRZYZAK",M------,Winter
123,16,AA,13:30,16:00,"LEILA KOSSEIM",M-W----,Summer
124,16,Q,13:15,14:30,"EMAD SHIHAB",M-W----,Fall
125,16,R,8:45,10:00,"NANCY ACEMIAN",M-W----,Fall
126,16,EE,17:45,20:15,"LEILA KOSSEIM",----F--,Fall
127,16,U,10:15,11:30,"AIMAN HANNA",--W-F--,Winter
128,16,W,11:45,13:00,"AIMAN HANNA",--W-F--,Winter
129,17,CC,15:30,18:00,"NIKOLAOS TSANTALIS",M-W----,Summer
130,17,D,14:45,16:00,"NAGI BASHA",M-W----,Fall
131,17,S,8:45,10:00,"NANCY ACEMIAN",M-W----,Winter
132,17,U,10:15,11:30,"KERLY TITUS",--W-F--,Winter
133,17,PP,17:45,20:15,"JEREMY CLARK",---J---,Winter
134,18,DD,17:45,20:15,"DAVID PROBST",M------,Fall
135,19,AA,18:30,21:00,"NEMATOLLAAH SHIRI-VARNAAMKHAASTI",-T-J---,Summer
136,19,E,10:15,11:30,"LATA NARAYANAN",-T-J---,Fall
137,19,G,8:45,10:00,"SEYED ALI JANNATPOUR",-T-J---,Fall
138,19,N,11:45,13:00,"GOSTA GRAHNE",-T-J---,Winter
139,19,F,10:15,11:30,"JEREMY MACDONALD",M-W----,Fall
140,21,D,13:15,14:30,"JOEY PAQUET",-T-J---,Fall
141,21,N,16:15,17:30,"DANIEL SINNIG",M-W----,Fall
142,21,S,14:45,16:00,"SEYED ALI JANNATPOUR",--W-F--,Winter
143,22,CC,18:30,21:00,"TODD EAVIS",-T-J---,Summer
144,22,DD,17:45,20:15,"DHRUBAJYOTI GOSWAMI",-T-----,Fall
145,22,NN,17:45,20:15,"AIMAN HANNA",--W----,Winter
146,22,WW,17:45,20:15,"AIMAN HANNA",-T-----,Winter
147,23,CC,14:45,17:15,"JAMAL BENTAHAR",M-W----,Summer
148,23,U,8:45,10:00,"MOHAMED TALEB",M-W----,Fall
149,23,DD,17:45,20:15,"DAVID PROBST",--W----,Fall
150,23,E,14:45,16:00,"DAVID PROBST",M-W----,Winter
151,24,AA,18:30,21:00,"SUTHARSAN SIVAGNANAM",M-W----,Summer
152,24,G,13:15,14:30,"AIMAN HANNA",--W-F--,Fall
153,24,H,13:15,14:30,"MOHAMED TALEB",--W-F--,Fall
154,24,X,13:15,14:30,"NANCY ACEMIAN",M-W----,Winter
155,25,CC,14:45,17:15,"TODD EAVIS",M-W----,Summer
156,25,F,13:15,16:00,"BIPIN C. DESAI",---J---,Fall
157,25,W,13:15,14:30,"NEMATOLLAAH SHIRI-VARNAAMKHAASTI",M-W----,Winter
158,25,BB,18:30,21:00,"DANIEL SINNIG",--W----,Summer
159,25,E,11:45,13:00,"JUERGEN RILLING",-T-J---,Fall
160,25,PP,17:45,20:15,"GREGORY BUTLER",---J---,Winter
161,25,DD,17:45,20:15,"ADAM KRZYZAK",----F--,Fall
