id,section_id,name,time_start,time_end,day,created_at,updated_at
1,1,AB,09:20,10:10,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2,1,AC,11:00,11:50,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
3,1,AD,13:00,13:50,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
4,1,AF,14:00,14:50,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
5,2,GA,08:45,09:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
6,2,GB,08:45,09:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
7,2,GC,16:15,17:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
8,2,GD,16:15,17:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
9,3,HA,17:45,18:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
10,3,HB,17:45,18:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
11,3,HC,16:15,17:05,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
12,3,HD,08:45,09:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
13,4,QA,08:45,09:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
14,4,QB,08:45,09:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
15,4,QE,16:15,17:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
16,4,QF,16:15,17:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
17,4,EA,08:45,09:35,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
18,4,EB,08:45,09:35,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
19,4,EC,16:15,17:05,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
20,4,ED,16:15,17:05,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
21,10,AE,08:30,10:10,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
22,10,AF,08:30,10:10,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
23,11,PA,13:15,14:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
24,11,PB,13:15,14:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
25,12,RA,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
26,12,RB,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
27,13,TA,13:15,14:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
28,13,TB,13:15,14:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
29,14,UA,14:15,15:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
30,14,UB,14:15,15:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
31,15,VA,13:45,15:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
32,15,VB,13:45,15:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
33,16,XA,13:15,14:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
34,16,XB,13:15,14:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
35,17,XE,15:45,17:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
36,17,XF,15:45,17:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
37,18,FA,18:00,19:40,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
38,18,FB,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
39,18,FC,18:00,19:40,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
40,18,FD,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
41,18,FE,18:00,19:40,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
42,19,GA,16:10,17:50,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
43,19,GB,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
44,19,GC,16:10,17:50,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
45,19,GD,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
46,19,GE,16:10,17:50,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
47,19,GF,18:00,19:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
48,20,JA,15:45,17:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
49,20,JB,15:45,17:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
50,20,JC,15:45,17:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
51,20,JD,15:45,17:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
52,21,CD,08:45,10:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
53,21,CE,08:45,10:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
54,21,CF,08:45,10:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
55,21,CG,08:45,10:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
56,21,CH,08:45,10:25,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
57,22,PA,10:45,12:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
58,22,PB,10:45,12:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
59,23,QA,10:45,12:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
60,23,QB,10:45,12:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
61,24,JA,17:45,19:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
62,24,JB,19:40,21:20,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
63,24,JC,13:15,15:05,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
64,25,RA,14:15,15:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
65,25,RB,14:15,15:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
66,25,RC,14:15,15:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
67,26,SA,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
68,26,SB,13:15,14:55,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
69,26,SC,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
70,27,TA,09:45,11:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
71,27,TB,09:45,11:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
72,27,TC,09:45,11:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
73,28,UA,09:45,11:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
